Header
rate=30
frames=194
duration=6.4
type=degree
Body
Time,Frame,NV,NH,HD,LS,LE,LH,LK,RS,RE,RH,RK,TO,TH,TV,SD
2.475000,75,2,10,17,28,61,45,-39,24,74,45,-42,-7,-31,36,0
2.508000,76,2,11,20,30,59,45,-41,25,75,45,-40,-9,-36,36,0
2.541000,77,2,12,23,32,57,45,-43,25,76,45,-38,-11,-41,36,0
2.574000,78,2,12,26,34,57,45,-45,25,77,45,-36,-13,-46,36,0
2.607000,79,2,13,29,36,58,45,-47,24,77,45,-34,-15,-51,36,0
2.640000,80,2,13,32,38,59,45,-49,24,78,45,-32,-15,-56,36,0
2.673000,81,2,14,35,40,60,45,-51,23,78,45,-30,-15,-61,36,0
2.706000,82,2,14,38,40,61,45,-53,22,79,45,-32,-15,-66,36,0
2.739000,83,2,14,41,38,63,45,-55,21,79,45,-34,-15,-71,36,0
2.772000,84,2,14,44,36,64,45,-56,20,79,45,-36,-15,-75,36,0
2.805000,85,2,13,47,34,66,45,-56,18,80,45,-38,-14,-70,36,0
2.838000,86,2,13,50,32,67,45,-56,17,80,45,-40,-13,-65,36,0
2.871000,87,2,12,53,30,69,45,-56,16,80,45,-42,-12,-60,36,0
2.904000,88,2,12,56,28,71,45,-56,14,80,45,-44,-10,-55,36,0
2.937000,89,2,11,59,26,72,45,-56,13,81,45,-46,-9,-50,36,0
2.970000,90,2,10,62,24,74,45,-56,12,81,45,-48,-7,-45,36,0
3.003000,91,2,9,65,22,76,44,-55,10,81,44,-49,-6,-40,36,0
3.036000,92,2,8,68,20,77,44,-55,9,81,43,-51,-4,-35,36,0
3.069000,93,2,7,71,18,79,43,-55,8,81,42,-52,-3,-30,36,0
3.102000,94,1,6,71,16,80,43,-54,6,81,41,-53,-1,-25,36,0
3.135000,95,1,5,68,14,81,42,-54,5,81,39,-54,0,-20,36,0
3.168000,96,1,4,65,12,83,41,-53,4,81,37,-54,1,-15,36,0
3.201000,97,1,3,62,10,84,41,-52,2,80,36,-55,3,-10,36,0
3.234000,98,1,2,59,8,85,40,-51,1,80,34,-55,4,-5,36,0
3.267000,99,1,1,56,6,86,40,-50,0,80,32,-55,6,0,36,0
3.300000,100,1,0,53,4,87,39,-49,0,80,30,-55,7,5,36,0
3.333000,101,1,-1,50,2,88,38,-48,-1,80,28,-55,9,10,36,0
3.366000,102,1,-2,47,0,88,38,-48,-2,80,26,-55,10,15,36,0
3.399000,103,1,-3,44,-2,89,37,-47,-3,80,25,-54,11,20,36,0
3.432000,104,1,-4,41,-4,90,36,-46,-4,80,23,-54,12,25,36,0
3.465000,105,1,-5,38,-6,90,36,-45,-5,80,21,-53,13,30,36,0
3.498000,106,1,-6,35,-8,90,35,-44,-6,80,19,-53,14,35,36,0
3.531000,107,1,-7,32,-10,90,34,-43,-7,80,18,-52,15,40,36,0
3.564000,108,1,-8,29,-12,90,34,-43,-8,80,17,-52,15,45,36,0
3.597000,109,1,-9,26,-14,90,33,-43,-9,81,16,-51,15,50,36,0
3.630000,110,1,-10,23,-16,90,33,-43,-10,81,15,-51,15,55,36,0
3.663000,111,1,-11,20,-18,90,33,-43,-10,82,14,-50,15,60,36,0
3.696000,112,1,-12,17,-20,90,32,-44,-11,83,14,-50,15,65,36,0
3.729000,113,1,-12,14,-22,90,32,-44,-12,83,15,-50,14,70,36,0
3.762000,114,1,-12,11,-24,90,32,-45,-12,84,15,-50,13,75,36,0
3.795000,115,1,-11,8,-25,90,32,-46,-13,86,16,-50,12,80,36,0
3.828000,116,1,-11,5,-24,90,32,-47,-14,87,17,-51,11,76,36,0
3.861000,117,1,-10,2,-23,90,31,-48,-14,88,19,-51,9,71,37,0
3.894000,118,1,-9,1,-22,90,31,-49,-15,89,20,-51,8,66,37,0
3.927000,119,1,-8,1,-21,90,31,-50,-15,90,22,-51,6,61,37,0
3.960000,120,1,-7,1,-20,90,31,-51,-15,90,24,-52,4,56,37,0
3.993000,121,1,-6,1,-18,90,31,-51,-16,90,26,-52,2,51,37,0
4.026000,122,1,-5,2,-17,90,31,-51,-16,90,28,-51,0,46,37,0
4.059000,123,1,-4,2,-15,90,30,-51,-16,90,30,-51,-1,41,37,0
4.092000,124,1,-3,2,-13,90,30,-51,-16,90,32,-51,-3,36,37,0
4.125000,125,1,-2,2,-12,90,30,-50,-16,90,33,-50,-5,31,37,0
4.158000,126,1,-1,2,-10,90,29,-50,-16,90,35,-49,-7,26,37,0
4.191000,127,1,0,2,-8,90,29,-48,-16,90,37,-48,-9,21,37,0
4.224000,128,1,1,2,-6,90,28,-47,-16,90,38,-47,-11,16,37,0
4.257000,129,1,2,2,-5,90,28,-45,-16,90,40,-45,-13,11,37,0
4.290000,130,1,3,2,-3,90,27,-44,-16,90,41,-44,-15,6,37,0
4.323000,131,1,4,2,-1,90,27,-42,-16,90,42,-42,-15,1,37,0
4.356000,132,1,5,2,0,89,26,-40,-16,90,42,-40,-15,-4,37,0
4.389000,133,0,6,2,0,89,25,-38,-16,90,43,-38,-15,-9,37,0
4.422000,134,0,7,2,1,88,24,-36,-16,90,43,-37,-15,-14,37,0
4.455000,135,0,8,2,2,88,24,-34,-16,90,44,-35,-15,-19,37,0
